SSE_output_unit1,SSE_output_unit2,SSE_output_unit3,SSE_output_unit4,SSE_output_unit5,SSE_output_unit6,SSE_output_unit7,SSE_output_unit8
0.8359,0.8710,0.8647,0.7960,0.8093,0.8881,0.8697,0.8001
0.8352,0.8709,0.8644,0.7944,0.8082,0.8881,0.8696,0.7987
0.8346,0.8708,0.8640,0.7926,0.8070,0.8880,0.8696,0.7973
0.8339,0.8707,0.8637,0.7909,0.8058,0.8880,0.8695,0.7959
0.8332,0.8706,0.8633,0.7891,0.8046,0.8880,0.8694,0.7945
0.8326,0.8704,0.8629,0.7873,0.8034,0.8879,0.8694,0.7930
0.8319,0.8703,0.8626,0.7854,0.8022,0.8879,0.8693,0.7915
0.8312,0.8702,0.8622,0.7835,0.8009,0.8878,0.8692,0.7900
0.8305,0.8701,0.8618,0.7815,0.7996,0.8878,0.8692,0.7884
0.8298,0.8700,0.8615,0.7795,0.7983,0.8877,0.8691,0.7868
0.8291,0.8698,0.8611,0.7775,0.7970,0.8877,0.8690,0.7852
0.8284,0.8697,0.8607,0.7754,0.7956,0.8876,0.8690,0.7835
0.8276,0.8696,0.8603,0.7733,0.7942,0.8876,0.8689,0.7819
0.8269,0.8695,0.8599,0.7711,0.7929,0.8875,0.8688,0.7802
0.8261,0.8693,0.8594,0.7688,0.7914,0.8875,0.8688,0.7784
